BKKB31331300                  ,ONE       ,K.CONNECT WORLDWIDE (THAILAND) CO. LTD                                                                                                                                              ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOODSTUFFS  N.O.S. ,SHPR : S.K. FOODS (THAILAND) PUBLIC COMPANY LIMITED. CMDT : FOODSTUFFS  N.O.S. :,2021-02-19 09:20:28.160
BKKB31353700                  ,ONE       ,YUSEN LOGISTICS (THAILAND) CO. LTD.                                                                                                                                                 ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, ARTICLES OF PLASTICS  ACRYLIC  N.O.S. ,SHPR : ZENITH BABY CARE CO.  LTD. CMDT : ARTICLES OF PLASTICS & ACRYLIC  N.O.S. : SUBJECT TO ROLL OVER,2021-02-19 09:20:28.190
BKKB31953600                  ,ONE       ,SPEEDMARK TRANSPORTATION (THAILAND) CO. LTD.                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-27 00:00:00.000,  FOODSTUFFS ,SHPR : GLOBO FOODS LTD. CMDT :  FOODSTUFFS :,2021-02-19 09:20:28.217
BKKB32132300                  ,ONE       ,MOL CONSOLIDATION SERVICE                                                                                                                                                           ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, TENNIS BALLS ,SHPR : UNIVERSAL SPORTING GOODS (THAI) CO. LTD. CMDT : TENNIS BALLS :,2021-02-19 09:20:28.240
BKKB32577900                  ,ONE       ,INTEGRA LOGISTICS CORPORATION LTD                                                                                                                                                   ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOOD ADDITIVE ,SHPR : P.P.T. INTERTRADE CO.  LTD. CMDT : FOOD ADDITIVE :,2021-02-19 09:20:28.273
BKKB32695300                  ,ONE       ,DAIKIN TRADING (THAILAND) LTD.                                                                                                                                                      ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, PARTS FOR AIR CONDITIONING MACHINES ,CMDT : PARTS FOR AIR CONDITIONING MACHINES :,2021-02-19 09:20:28.287
BKKB32769500                  ,ONE       ,PACIFIC SUGAR CORPORATION LIMITED                                                                                                                                                   ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, SYRUP IN FLEXI BAG ,CMDT : SYRUP IN FLEXI BAG :,2021-02-19 09:20:28.347
BKKB33089800                  ,ONE       ,AKE RICE MILL CO.  LTD.                                                                                                                                                             ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED ,SHPR : AEK RICE MILL CO. LTD. CMDT : RICE (SHORT  MEDIUM OR LONG GRAIN)  SEMI OR WHOLLY MILLED :,2021-02-19 09:20:28.370
BKKB33266500                  ,ONE       ,SRTS (THAILAND) CO.  LTD.                                                                                                                                                           ,          ,                                        ,                                                                                ,2021-03-08 00:00:00.000, MOTORBOATS  OTHER THAN OUTBOARD ,SHPR : THAI SUZUKI MOTOR CO.  LTD. CMDT : MOTORBOATS  OTHER THAN OUTBOARD :,2021-02-19 09:20:28.397
BKKB34585300                  ,ONE       ,IFB INTERNATIONAL FREIGHTBRIDGE (THAILAND) LTD.                                                                                                                                     ,          ,                                        ,                                                                                ,2021-03-22 00:00:00.000, UMBRELLA PARTS  ACCESSORIES N.O.S. ,CARGO IS AUTO ACCESSORIES SHPR : FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED CMDT : UMBRELLA PARTS & ACCESSORIES N.O.S. :,2021-02-19 09:20:28.443
BKKB34804400                  ,ONE       ,DSV AIR & SEA LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-03-16 00:00:00.000, FACIAL SHEET MASK ,SHPR : MEIYUME MANUFACTURING (THAILAND)LIMITED CMDT : FACIAL SHEET MASK : //SUBJECT TO ROLL//,2021-02-19 09:20:28.470
BKKB34954300                  ,ONE       ,METRO PANEL CO.  LTD.                                                                                                                                                               ,          ,                                        ,                                                                                ,2021-03-06 00:00:00.000, WOODEN FIBREBOARD  OTHER LIGNEOUS MAT.   OF A DENSITY EXCEEDING 0.8 GCM3 ,CMDT : WOODEN FIBREBOARD  OTHER LIGNEOUS MAT.   OF A DENSITY EXCEEDING 0.8 G/CM3 :,2021-02-19 09:20:28.497
BKKB35258800                  ,ONE       ,DSV AIR & SEA LTD.                                                                                                                                                                  ,          ,                                        ,                                                                                ,2021-03-16 00:00:00.000,  COCONUT MILK 12X400 ML AND GLASS BOTTLE VIRGIN COCONUT OIL 12X180ML ,SHPR : THAI COCONUT PUBLIC COMPANY LIMITED CMDT :  COCONUT MILK 12X400 ML AND GLASS BOTTLE VIRGIN COCONUT OIL 12X180ML :,2021-02-19 09:20:28.523
BKKB35293700                  ,ONE       ,TRANSCONTAINER LOGISTICS (THAILAND) CO. LTD.                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BABY PRODUCTS ,SHPR : THAI PIGEON CO. LTD. CMDT : BABY PRODUCTS :,2021-02-19 09:20:28.547
